species,Temp,Nutr,N,RGRvalue,sd,se,RGR,label2
LM,18,low,8,0.1195833,0.03536133,0.012502118,maximum,
LM,18,med,8,0.2218418,0.03936874,0.013918951,maximum,
LM,18,high,8,0.2256363,0.04356238,0.015401626,maximum,
LM,24,low,8,0.1938049,0.06305362,0.022292822,maximum,
LM,24,med,8,0.2881289,0.03354837,0.011861141,maximum,
LM,24,high,8,0.3335124,0.03078498,0.010884135,maximum,
LM,30,low,7,0.1758672,0.04500833,0.017011552,maximum,
LM,30,med,8,0.3059755,0.01531807,0.005415756,maximum,
LM,30,high,8,0.3066237,0.02902358,0.010261385,maximum,
SP,18,low,8,0.1592154,0.04648278,0.016434145,maximum,
SP,18,med,8,0.2495274,0.02768089,0.009786673,maximum,
SP,18,high,8,0.2582522,0.02016515,0.007129459,maximum,
SP,24,low,7,0.1970901,0.06632673,0.025069147,maximum,
SP,24,med,8,0.3004782,0.04942508,0.017474404,maximum,
SP,24,high,8,0.3299154,0.05761938,0.020371526,maximum,
SP,30,low,8,0.2062197,0.05094876,0.018013108,maximum,
SP,30,med,8,0.2913773,0.05179372,0.018311845,maximum,
SP,30,high,8,0.3487602,0.03394074,0.011999864,maximum,
WB,18,low,8,0.1737326,0.04609413,0.016296735,maximum,
WB,18,med,8,0.2131477,0.02340414,0.008274614,maximum,
WB,18,high,8,0.2270986,0.01549878,0.005479648,maximum,
WB,24,low,9,0.2288459,0.01982178,0.006607261,maximum,
WB,24,med,8,0.3351587,0.03038067,0.010741188,maximum,
WB,24,high,8,0.3517742,0.03017367,0.010668004,maximum,
WB,30,low,8,0.1941449,0.0472253,0.016696664,maximum,
WB,30,med,8,0.3258537,0.04976172,0.017593423,maximum,
WB,30,high,8,0.3431675,0.04385088,0.015503627,maximum,
LM,18,high,8,0.15388017,0.02745871,0.00970812,average,b
SP,18,high,8,0.20044475,0.01353764,0.004786278,average,a
WB,18,high,8,0.16415157,0.01474493,0.005213119,average,b
LM,18,low,8,0.07242707,0.01855008,0.006558444,average,a
SP,18,low,8,0.08863098,0.02678126,0.009468605,average,a
WB,18,low,8,0.03923679,0.02109719,0.007458983,average,b
LM,18,med,8,0.16229854,0.02832025,0.010012721,average,
SP,18,med,8,0.18308773,0.02428079,0.008584554,average,
WB,18,med,8,0.13944602,0.02477418,0.008758997,average,
LM,24,high,8,0.22287016,0.01765347,0.006241444,average,
SP,24,high,8,0.21042729,0.02624397,0.009278643,average,
WB,24,high,8,0.1952421,0.01089227,0.003851,average,
LM,24,low,8,0.09107155,0.00988139,0.003493599,average,a
SP,24,low,7,0.0747884,0.01796122,0.006788705,average,a
WB,24,low,9,0.0255463,0.01808907,0.00602969,average,b
LM,24,med,8,0.18865564,0.02911148,0.010292464,average,a
SP,24,med,8,0.182407,0.01930207,0.006824313,average,a
WB,24,med,8,0.15099681,0.01195948,0.004228315,average,b
LM,30,high,8,0.221343,0.01166522,0.004124279,average,
SP,30,high,8,0.21011913,0.02201172,0.007782317,average,
WB,30,high,8,0.19700489,0.01423881,0.005034181,average,
LM,30,low,8,0.08794925,0.01866487,0.007054657,average,a
SP,30,low,8,0.0903626,0.02113502,0.007472358,average,a
WB,30,low,8,0.0167906,0.0235275,0.008318227,average,b
LM,30,med,8,0.21127494,0.01855416,0.006559886,average,a
SP,30,med,8,0.19020482,0.03650041,0.012904845,average,a
WB,30,med,8,0.15086704,0.03311457,0.01170777,average,b
