species,Temp,Nutr,N,maxRGR,sd,se,label
LM,18,low,8,0.1195833,0.03536133,0.012502118,
LM,18,med,8,0.2218418,0.03936874,0.013918951,
LM,18,high,8,0.2256363,0.04356238,0.015401626,
LM,24,low,8,0.1938049,0.06305362,0.022292822,
LM,24,med,8,0.2881289,0.03354837,0.011861141,
LM,24,high,8,0.3335124,0.03078498,0.010884135,
LM,30,low,8,0.1957758,0.07005105,0.024766787,
LM,30,med,8,0.3059755,0.01531807,0.005415756,
LM,30,high,8,0.3066237,0.02902358,0.010261385,
SP,18,low,8,0.1592154,0.04648278,0.016434145,
SP,18,med,8,0.2495274,0.02768089,0.009786673,
SP,18,high,8,0.2582522,0.02016515,0.007129459,
SP,24,low,7,0.1970901,0.06632673,0.025069147,
SP,24,med,8,0.3004782,0.04942508,0.017474404,
SP,24,high,8,0.3299154,0.05761938,0.020371526,
SP,30,low,8,0.2062197,0.05094876,0.018013108,
SP,30,med,8,0.2913773,0.05179372,0.018311845,
SP,30,high,8,0.3487602,0.03394074,0.011999864,
WB,18,low,8,0.1737326,0.04609413,0.016296735,
WB,18,med,8,0.2131477,0.02340414,0.008274614,
WB,18,high,8,0.2270986,0.01549878,0.005479648,
WB,24,low,9,0.2288459,0.01982178,0.006607261,
WB,24,med,8,0.3351587,0.03038067,0.010741188,
WB,24,high,8,0.3517742,0.03017367,0.010668004,
WB,30,low,8,0.1941449,0.0472253,0.016696664,
WB,30,med,8,0.3258537,0.04976172,0.017593423,
WB,30,high,8,0.3431675,0.04385088,0.015503627,
