waterbody,surfacearea_ha,TOTP_avg,composition,FP_species_richness,FPcover_max
Private Pond (3),0.4,0.1186,A LM SP W,4,1
Swan Pond (2),4.39,0.0222,LM  LV  SP W,4,0.0038
Paul T. Given County Park Pond,0.1,0.01768,LM R SP W,4,0.4458
Horseshoe Pond,2.23,0.05405,LM LT SP,3,0.024
Quonnipaug Lake,39.94,0.0101,LM LT SP,3,0.0034
Betty Allen Twin Pond,0.59,0.01972,LM SP W,3,0.813
Blydenburgh Lake,40.67,0.02095,LM SP W,3,0.05
Bolton Notch Pond,8.5,0.0135,LM SP W,3,0.0017
Branford Supply Pond (East),7.04,0.0815,LM SP W,3,0.0281
Chase Reservoir,28.77,0.0215,LM SP W,3,5.00E-04
Doaneville Pond,27.68,0.0515,LM SP W,3,2.00E-04
Highwoods Drive Pond,0.0858,0.02815,LM SP W,3,1
Lower Yaphank Lake,10.12,0.0184,LM SP W,3,0.1665
Mackenzie Reservoir  2  small,59.8,0.0385,LM SP W,3,0.1421
Mill Pond  North Basin,1.5,0.02579,LM SP W,3,0.5652
Mill Pond  South Basin,1.13,0.02366,LM SP W,3,0.6969
"Mills Pond, Lower",0.4,0.0402,LM SP W,3,1
North Farms Reservoir,26.06,0.1116,LM SP W,3,0.0504
Swan Pond (1),23.22,0.01955,LM SP W,3,0.01
Tilleys Pond,0.85,0.1836,LM SP W,3,1
Town Mill Pond ,1.17,0.0374,LM SP W,3,0.0472
Wampum Hill Pond,0.16,0.178,LM SP W,3,1
Young's Pond,1.7,0.0683,LM SP W,3,1
Hatch Pond,26.71,0.1574,LT SP W,3,0.1725
Private Pond (5) Upper/East,0.12,0.2035,A W,2,1
Redwing Pond,0.49,0.018,LM SP,2,0.0173
Rolling Ridge Pond,0.4,0.1688,LM SP,2,0.0288
Upper Yaphank Lake,7.4,0.01829,LM SP,2,0.0029
Angus Park Pond,3.8,0.039,LM SP,2,0.2616
Beaver Pond,12.23,0.0476,LM SP,2,0.0024
Beeslick Lake,10.93,NA,LM SP,2,6.00E-04
Birch Pond,0.27,0.18371,LM SP,2,0.9109
Brandegea Lake,11.94,0.074,LM SP,2,0.0031
Crystal Lake (3),75.84,0.055,LM SP,2,0.01
Dayton Pond ,2.67,0.0396,LM SP,2,0.0269
Elise Lake,6.27,0.055,LM SP,2,0.0017
Mill Pond Park,1.46,0.0948,LM SP,2,0.4938
"Mills Pond, Upper",1.78,0.0671,LM SP,2,0.24
New England Road Pond,0.0275,0.02234,LM SP,2,0.8
116 Old Field Road Pond,0.4,0.38664,LM W,2,1
Beseck Lake,45.73,0.032,LM W,2,4.00E-04
