plate,row,col,species,Temp,Nutr,area0,area3,area5,area7,area10,area12,rgr1.5,rgr4,rgr6,rgr8.5,rgr11,maxRGR,avgRGR,turions3,turions5,turions7,turions10,turions12,turionsTOT,outlier
A,C,1,LM,18,high,26.111,44.824,77.509,103.683,157.898,209.308,0.18012901,0.273825174,0.145472054,0.140203696,0.140928798,0.273825174,0.176111746,0,0,0,0,0,0,0
B,A,3,LM,18,high,25.259,37.872,61.813,94.355,162.262,222.826,0.135009842,0.244950823,0.211475283,0.180716016,0.158589443,0.244950823,0.186148281,0,0,0,0,0,0,0
C,B,2,LM,18,high,31.564,42.322,58.479,78.335,110.559,125.834,0.097763272,0.161680335,0.146163393,0.114851604,0.064707131,0.161680335,0.117033147,0,0,0,0,0,0,0
C,B,4,LM,18,high,28.796,43.867,66.226,97.38,133.027,139.022,0.140308613,0.205955403,0.192773858,0.103977088,0.022040039,0.205955403,0.133011,0,0,0,0,0,0,0
D,C,1,LM,18,high,36.64,51.255,72.342,95.751,146.108,157.087,0.111890878,0.17229585,0.140173099,0.140865001,0.036226859,0.17229585,0.120290337,0,0,0,0,,,0
E,A,3,LM,18,high,31.078,47.235,82.818,119.937,192.697,224.581,0.13954499,0.280755143,0.185160588,0.158050801,0.076558718,0.280755143,0.168014048,0,0,0,0,,,0
F,B,2,LM,18,high,27.037,40.53,63.554,97.478,164.358,219.946,0.134945381,0.224923749,0.213868387,0.174140088,0.145667543,0.224923749,0.178709029,0,0,0,0,0,0,0
F,B,4,LM,18,high,26.673,41.368,66.948,92.028,129.148,157.611,0.146285272,0.240704282,0.15908834,0.112955385,0.099585469,0.240704282,0.15172375,0,0,0,0,0,0,0
A,A,1,LM,18,low,18.727,25.534,30.688,37.418,43.34,52.863,0.103348188,0.091930401,0.099140087,0.048974708,0.099313833,0.103348188,0.088541443,0,0,0,0,0,0,0
A,A,4,LM,18,low,18.094,23.732,31.111,30.47,34.865,46.352,0.090414652,0.135368553,-0.010409431,0.044913623,0.14239049,0.14239049,0.080535577,0,0,0,0,0,0,0
B,B,3,LM,18,low,20.48,26.13,30.961,35.282,36.977,39.995,0.08121176,0.084822134,0.065322285,0.01564106,0.039229174,0.084822134,0.057245283,0,0,0,0,0,0,0
C,C,2,LM,18,low,21.67,28.176,37.116,43.174,46.6,43.373,0.087513912,0.137788796,0.075595159,0.025454026,-0.035881707,0.137788796,0.058094037,0,0,0,0,0,0,0
D,A,1,LM,18,low,31.372,49.483,53.481,58.411,67.825,71.071,0.151904467,0.038848637,0.044088889,0.049808877,0.023374259,0.151904467,0.061605026,0,0,0,0,,,0
D,A,4,LM,18,low,25.447,31.773,36.747,37.566,47.131,54.086,0.074006338,0.072719859,0.011021398,0.075610524,0.068822207,0.075610524,0.060436065,0,0,0,0,,,0
E,B,3,LM,18,low,25.241,33.094,38.597,42.528,48.938,55.02,0.090294114,0.076911278,0.048494065,0.046797169,0.058571282,0.090294114,0.064213582,0,0,0,0,,,0
F,C,2,LM,18,low,10.987,17.661,24.838,28.399,32.165,39.801,0.158215354,0.17050796,0.066989597,0.041508324,0.106506566,0.17050796,0.10874556,0,0,0,0,0,0,0
A,B,1,LM,18,med,14.006,27.83,44.028,69.57,111.358,148.464,0.228876255,0.22935561,0.228753822,0.156805599,0.143796134,0.22935561,0.197517484,0,0,0,0,0,0,0
B,C,3,LM,18,med,17.653,28.807,47.319,76.291,126.328,162.229,0.163237558,0.248146747,0.238821535,0.168108908,0.125063609,0.248146747,0.188675671,0,0,0,0,0,0,0
B,C,4,LM,18,med,14.211,25.667,39.966,56.264,96.31,134.386,0.197063269,0.221411486,0.171012903,0.179172419,0.16657205,0.221411486,0.187046426,0,0,0,0,0,0,0
C,A,2,LM,18,med,28.289,40.372,61.882,84.148,107.847,120.821,0.11855448,0.213546435,0.153673904,0.082712134,0.056798278,0.213546435,0.125057046,0,0,0,0,0,0,0
D,B,1,LM,18,med,22.119,34.173,45.251,60.373,78.873,96.306,0.14499963,0.140394455,0.144158608,0.089098993,0.099845829,0.14499963,0.123699503,0,0,0,0,,,0
E,C,3,LM,18,med,30.621,47.712,76.577,106.191,158.799,196.682,0.147832297,0.236556916,0.163471294,0.134133297,0.10697448,0.236556916,0.157793657,0,0,0,0,,,0
E,C,4,LM,18,med,21.698,34.877,61.121,85.908,131.799,157.252,0.158202499,0.28051396,0.170210725,0.142667026,0.08828579,0.28051396,0.167976,0,0,0,0,0,0,0
F,A,2,LM,18,med,31.601,57.616,85.931,124.76,158.311,188.483,0.200203847,0.199872171,0.186423622,0.079389854,0.087223182,0.200203847,0.150622535,0,0,0,0,0,0,0
G,C,1,LM,24,high,21.894,54.288,95.86,186.149,310.767,299.243,0.30269686,0.284292793,0.331829317,0.170832002,-0.018893741,0.331829317,0.214151446,0,0,0,0,0,0,0
H,A,3,LM,24,high,24.459,57.69,100.745,181.527,270.587,331.407,0.286028534,0.278754362,0.294405916,0.13306309,0.101376777,0.294405916,0.218725736,0,0,0,0,0,0,0
I,B,2,LM,24,high,29.871,77.37,124.538,195.39,260.138,368.814,0.317236999,0.238005891,0.225193336,0.095404899,0.174540096,0.317236999,0.210076244,0,0,0,0,0,0,0
I,B,4,LM,24,high,34.933,88.64,140.77,209.385,274.913,354.748,0.310383761,0.231272065,0.198523655,0.090760007,0.127476497,0.310383761,0.191683197,0,0,0,0,0,0,0
J,C,1,LM,24,high,16.851,42.356,79.586,131.658,215.708,303.219,0.307233362,0.315364055,0.251684727,0.164572663,0.170264838,0.315364055,0.241823929,0,0,0,0,0,0,0
K,A,3,LM,24,high,23.409,60.948,125.454,210.161,312.649,385.947,0.318966826,0.360959058,0.257967373,0.132402417,0.105309449,0.360959058,0.235121025,0,0,0,0,0,0,0
L,B,2,LM,24,high,21.672,44.289,89.217,143.972,289.927,340.018,0.238238411,0.350167633,0.239273616,0.233336777,0.079684695,0.350167633,0.228140226,0,0,0,0,0,0,0
L,B,4,LM,24,high,20.399,49.928,108.428,180.786,307.827,373.775,0.298365363,0.387752195,0.255613827,0.177407975,0.097058038,0.387752195,0.243239479,0,0,0,0,0,0,0
G,A,1,LM,24,low,11.081,30.47,32.402,40.833,51.383,50.625,0.337170221,0.030738778,0.115635214,0.0766056,-0.007430927,0.337170221,0.110543777,0,0,0,0,0,0,0
G,A,4,LM,24,low,15.074,26.086,31.275,35.938,44.729,46.304,0.182809122,0.090710142,0.069488088,0.072942276,0.017303145,0.182809122,0.086650555,0,0,0,0,0,0,0
H,B,3,LM,24,low,17.85,33.082,36.318,39.562,46.143,59.186,0.20566194,0.046662079,0.042777788,0.05129207,0.124469879,0.20566194,0.094172751,0,0,0,0,0,0,0
I,C,2,LM,24,low,30.444,54.751,55.268,61.423,60.937,83.433,0.195635568,0.004699223,0.052795139,-0.002647938,0.157101685,0.195635568,0.081516735,0,0,0,0,0,0,0
J,A,1,LM,24,low,17.763,31.227,39.67,41.607,50.764,61.287,0.188055154,0.119656065,0.023836594,0.06630634,0.094190153,0.188055154,0.098408861,0,0,0,0,0,0,0
J,A,4,LM,24,low,24.256,33.258,43.293,46.542,54.387,63.399,0.105210443,0.13184781,0.036182086,0.051923341,0.076661467,0.13184781,0.080365029,0,0,0,0,0,0,0
K,B,3,LM,24,low,21.068,32.911,43.014,44.949,49.737,61.81,0.148683882,0.133859348,0.022001435,0.033740203,0.10865802,0.148683882,0.089388578,0,0,0,0,0,0,0
L,C,2,LM,24,low,19.665,31.835,40.149,42.631,54.545,60.149,0.160575303,0.11601561,0.029992077,0.08214812,0.048899384,0.160575303,0.087526099,0,0,0,0,0,0,0
G,B,1,LM,24,med,32.178,66.731,100.557,142.902,213.065,220.371,0.243128874,0.205027559,0.175717175,0.133146068,0.016857603,0.243128874,0.154775456,0,0,0,0,0,0,0
H,C,3,LM,24,med,15.272,39.336,67.63,117.328,189.824,240.964,0.315373015,0.270955771,0.27546088,0.160374632,0.119275109,0.315373015,0.228287881,0,0,0,0,0,0,0
H,C,4,LM,24,med,27.168,64.008,94.014,139.88,189.521,193.465,0.285656088,0.192217816,0.198670602,0.101238308,0.010298391,0.285656088,0.157616241,0,0,0,0,0,0,0
I,A,2,LM,24,med,29.118,70.414,99.503,146.975,192.321,260.624,0.294345189,0.172897844,0.195037355,0.089634449,0.151956452,0.294345189,0.180774258,0,0,0,0,0,0,0
J,B,1,LM,24,med,25.575,49.66,93.281,143.098,201.79,251.004,0.221194823,0.315208331,0.213956634,0.114565947,0.109120661,0.315208331,0.194809279,0,0,0,0,0,0,0
K,C,3,LM,24,med,21.3,43.875,78.1,117.734,168.423,214.61,0.240879203,0.288322688,0.205218893,0.119350276,0.121171878,0.288322688,0.194988588,0,0,0,0,0,0,0
K,C,4,LM,24,med,22.768,46.138,71.858,95.591,99.564,157.024,0.235426955,0.221527522,0.142693362,0.013573993,0.227799003,0.235426955,0.168204167,0,0,0,0,0,0,0
L,A,2,LM,24,med,15.132,40.428,72.693,116.405,188.241,245.302,0.327570302,0.29336124,0.235415198,0.160215856,0.132383524,0.327570302,0.229789224,0,0,0,0,0,0,0
M,C,1,LM,30,high,28.574,71.325,132.988,205.043,300.779,404.422,0.304916561,0.311506001,0.216480407,0.127718688,0.148041556,0.311506001,0.221732643,0,0,0,0,0,0,0
N,A,3,LM,30,high,21.919,46.423,87.116,146.075,234.242,297.048,0.250147062,0.314722769,0.258439812,0.157411527,0.118769486,0.314722769,0.219898131,0,0,0,0,0,0,0
O,B,2,LM,30,high,23.335,62.31,97.124,132.809,246.625,317.874,0.327389182,0.221933293,0.156461747,0.206318986,0.126893057,0.327389182,0.207799253,0,0,0,0,0,0,0
O,B,4,LM,30,high,20.651,46.731,76.917,103.736,186.184,257.58,0.272214671,0.249159581,0.149561146,0.194962074,0.16229746,0.272214671,0.205638986,0,0,0,0,0,0,0
P,C,1,LM,30,high,25.65,62.516,104.351,158.104,235.517,339.852,0.296959651,0.256168846,0.207746414,0.132843351,0.183363566,0.296959651,0.215416366,0,0,0,0,0,0,0
Q,A,3,LM,30,high,16.505,48.806,85.576,139.555,231.128,299.64,0.36139663,0.280775807,0.244526959,0.16817096,0.129805042,0.36139663,0.23693508,0,0,0,0,0,0,0
R,B,2,LM,30,high,19.427,41.992,75.276,128.956,215.93,314.243,0.256938424,0.291841117,0.269154951,0.171827673,0.187606145,0.291841117,0.235473662,0,0,0,0,0,0,0
R,B,4,LM,30,high,21.081,43.506,75.703,127.982,254.464,329.465,0.2415089,0.276959465,0.26253592,0.229089914,0.129155377,0.276959465,0.227849915,0,0,0,0,0,0,0
M,A,1,LM,30,low,20.761,37.496,48.464,44.403,46.163,56.824,0.197052678,0.128293497,-0.04375711,0.012957192,0.10389008,0.197052678,0.079687267,0,0,0,0,0,0,0
M,A,4,LM,30,low,22.053,32.672,35.293,37.818,42.677,59.62,0.131023265,0.038583101,0.034550268,0.040291651,0.167165477,0.167165477,0.082322752,0,0,0,0,0,0,0
N,B,3,LM,30,low,26.699,32.293,36.255,39.612,44.158,52.187,0.063408126,0.057863407,0.0442774,0.036214003,0.083529655,0.083529655,0.057058518,0,0,0,0,0,0,0
O,C,2,LM,30,low,18.018,35.082,39.335,44.553,51.603,70.351,0.22210564,0.057213265,0.062282392,0.048966773,0.154958594,0.22210564,0.109105333,0,0,0,0,0,0,0
P,A,1,LM,30,low,17.334,30.32,34.643,42.794,46.204,47.42,0.186379223,0.066644062,0.10565111,0.025556156,0.012988853,0.186379223,0.079443881,0,0,0,0,0,0,0
P,A,4,LM,30,low,18.511,26.587,20.348,17.607,4.112,8.038,0.120685742,-0.133719874,-0.072343038,-0.484795674,0.335135384,0.335135384,-0.047007492,0,0,0,0,0,0,1
Q,B,3,LM,30,low,16.808,31.049,39.993,44.137,52.102,61.787,0.204570546,0.126568919,0.049296997,0.055301634,0.085244825,0.204570546,0.104196584,0,0,0,0,0,0,0
R,C,2,LM,30,low,17.314,28.856,37.787,44.352,53.144,61.582,0.170267507,0.134823592,0.080096338,0.060282469,0.073682205,0.170267507,0.103830422,0,0,0,0,0,0,0
M,B,1,LM,30,med,20.585,53.637,85.271,131.161,138.943,244.361,0.319225491,0.231797646,0.215295578,0.019212734,0.282291432,0.319225491,0.213564576,0,0,0,0,0,0,0
N,C,3,LM,30,med,22.089,47.596,86.423,131.149,208.824,262.291,0.255889659,0.29825256,0.208540119,0.15505257,0.113981391,0.29825256,0.20634326,0,0,0,0,0,0,0
N,C,4,LM,30,med,16.949,36.89,70.608,114.182,192.827,270.774,0.259243892,0.32460147,0.240325107,0.174666582,0.169745555,0.32460147,0.233716521,0,0,0,0,0,0,0
O,A,2,LM,30,med,21.912,51.531,75.727,111.386,185.39,235.238,0.285049712,0.1924756,0.192933439,0.169820023,0.119068027,0.285049712,0.19186936,0,0,0,0,0,0,0
P,B,1,LM,30,med,19.036,46.376,63.58,97.907,134.959,177.434,0.29681672,0.157758436,0.215859547,0.106984327,0.13681384,0.29681672,0.182846574,0,0,0,0,0,0,0
Q,C,3,LM,30,med,19.097,40.378,72.516,109.915,164.018,220.488,0.249584609,0.292761072,0.207950056,0.133422946,0.147933547,0.292761072,0.206330446,0,0,0,0,0,0,0
Q,C,4,LM,30,med,17.072,45.268,84.894,125.038,194.29,246.764,0.325053562,0.314401519,0.193607136,0.146911399,0.119540263,0.325053562,0.219902776,0,0,0,0,0,0,0
R,A,2,LM,30,med,11.29,28.277,48.53,89.212,151.968,193.209,0.306043792,0.270066705,0.304416698,0.177551471,0.120051266,0.306043792,0.235625986,0,0,0,0,0,0,0
A,C,3,SP,18,high,31.476,54.571,88.439,146.354,271.089,366.777,0.183425752,0.241405221,0.251857648,0.205472945,0.151153427,0.251857648,0.206662999,0,0,0,0,0,0,0
A,C,4,SP,18,high,34.643,56.216,96.365,145.489,263.992,366.541,0.161368576,0.269470826,0.205978709,0.198606106,0.164095792,0.269470826,0.199904002,0,0,0,0,0,0,0
B,A,2,SP,18,high,29.191,53.348,83.448,137.969,259.674,349.258,0.200992015,0.223693597,0.251402669,0.210799325,0.148191953,0.251402669,0.207015912,0,0,0,0,0,0,0
C,B,1,SP,18,high,30.618,44.572,79.414,129.874,234.56,314.023,0.125172596,0.288784408,0.245945037,0.19704889,0.145877406,0.288784408,0.200565667,0,0,0,0,0,0,0
D,C,3,SP,18,high,37.852,70.754,115.009,191.728,352.207,429.761,0.208508418,0.242900657,0.255533657,0.20271379,0.099505085,0.255533657,0.201832321,0,0,0,0,,,0
D,C,4,SP,18,high,46.252,81.256,121.057,201.21,348.93,405.48,0.187833319,0.199328422,0.254043815,0.183507397,0.075100111,0.254043815,0.179962613,0,0,0,0,,,0
E,A,2,SP,18,high,38.691,68.294,106.169,155.894,272.055,355.735,0.189404967,0.220605125,0.192072062,0.185609321,0.13409091,0.220605125,0.184356477,0,0,0,0,,,0
F,B,1,SP,18,high,18.974,38.249,66.205,98.824,199.24,282.324,0.233682598,0.274319286,0.200292251,0.233723213,0.17427261,0.274319286,0.223257992,0,0,0,0,0,0,0
A,A,3,SP,18,low,32.209,44.001,57.403,59.451,67.376,84.041,0.103988815,0.132942103,0.017527939,0.041712143,0.110507952,0.132942103,0.08133579,0,0,0,0,0,0,0
B,B,2,SP,18,low,24.086,37.031,41.939,45.766,51.358,56.352,0.14337488,0.062230391,0.043662638,0.03842642,0.046398507,0.14337488,0.066818567,0,0,0,0,0,0,0
B,B,4,SP,18,low,18.721,32.634,45.626,52.575,64.782,69.061,0.185236267,0.16756152,0.070881496,0.069595688,0.031981193,0.185236267,0.105051233,0,0,0,0,0,0,0
C,C,1,SP,18,low,32.051,43.549,53.038,60.027,69.573,75.715,0.102186119,0.098560948,0.061892912,0.049194033,0.042299865,0.102186119,0.070826776,0,0,0,0,0,0,0
D,A,3,SP,18,low,38.18,54.533,61.227,60.97,77.248,85.237,0.118831402,0.057891123,-0.002103164,0.078879695,0.049207293,0.118831402,0.06054127,0,0,0,0,,,0
E,B,2,SP,18,low,29.122,45.591,56.107,58.155,62.223,71.196,0.149405475,0.103775127,0.017925639,0.022537616,0.067355965,0.149405475,0.072199964,0,0,0,0,,,0
E,B,4,SP,18,low,16.785,30.243,45.062,52.35,62.069,73.296,0.196259707,0.199387283,0.074956309,0.056764911,0.083129684,0.199387283,0.122099579,0,0,0,0,,,0
F,C,1,SP,18,low,11.169,23.109,31.676,42.773,49.259,54.834,0.242360023,0.157668572,0.150173883,0.047061677,0.053609174,0.242360023,0.130174666,0,0,0,0,0,0,0
A,B,3,SP,18,med,18.282,34.568,61.321,97.308,166.848,237.464,0.212337143,0.286596982,0.230879422,0.179734004,0.176466407,0.286596982,0.217202792,0,0,0,0,0,0,0
B,C,2,SP,18,med,21.865,44.021,69.89,103.966,175.879,248.727,0.233259869,0.231127892,0.198570673,0.175244112,0.173279825,0.233259869,0.202296474,0,0,0,0,0,0,0
C,A,1,SP,18,med,37.178,58.796,94.381,144.859,226.228,279.83,0.152785546,0.236632978,0.214210537,0.148594162,0.106319468,0.236632978,0.171708538,0,0,0,0,0,0,0
C,A,4,SP,18,med,35.187,55.445,91.606,129.847,195.965,239.969,0.151571614,0.251052617,0.174430031,0.137193079,0.101286838,0.251052617,0.163106836,0,0,0,0,0,0,0
D,B,3,SP,18,med,33.662,48.831,74.784,112.616,185.315,222.171,0.123998584,0.213119301,0.204689922,0.166024426,0.090695138,0.213119301,0.159705474,0,0,0,0,,,0
E,C,2,SP,18,med,18.522,38.12,64.403,96.799,174.486,228.482,0.240593288,0.262210569,0.203738224,0.196402615,0.134806462,0.262210569,0.207550231,0,0,0,0,,,0
